table	model	class_or_axis	key	usd	comparator_usd	flag
fully_loaded	Boltz2	cold_switch	D=10000,offer=on_demand,reuse=50,R=None	0.079953	799.53/870.01	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=10000,offer=on_demand,reuse=50,R=None	0.088218	0.079953	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=50000,offer=on_demand,reuse=50,R=None	0.047945	2397.25/2749.69	cheaper_than_warm
fully_loaded_relocation_addon	Boltz2	cold_switch	D=50000,offer=on_demand,reuse=50,R=None	0.056210	0.047945	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=100000,offer=on_demand,reuse=50,R=None	0.043944	4394.40/5099.28	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=100000,offer=on_demand,reuse=50,R=None	0.052209	0.043944	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=500000,offer=on_demand,reuse=50,R=None	0.040743	20371.61/23896.00	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=500000,offer=on_demand,reuse=50,R=None	0.049008	0.040743	unmeasured-scenario
fully_loaded	Boltz2	cold_switch	D=1000000,offer=on_demand,reuse=50,R=None	0.040343	40343.13/47391.90	warm_cheaper
fully_loaded_relocation_addon	Boltz2	cold_switch	D=1000000,offer=on_demand,reuse=50,R=None	0.048608	0.040343	unmeasured-scenario
preemption_sweep	OpenFold2	p=0.00	cheapest=fallback_pre_then_od	0.010529	0.010529	0.018854
preemption_sweep	OpenFold2	p=0.05	cheapest=preemptible_only	0.011083	0.011472	0.018854
preemption_sweep	OpenFold2	p=0.10	cheapest=preemptible_only	0.011699	0.012414	0.018854
preemption_sweep	OpenFold2	p=0.20	cheapest=preemptible_only	0.013161	0.014300	0.018854
preemption_sweep	OpenFold2	p=0.30	cheapest=preemptible_only	0.015041	0.016185	0.018854
preemption_sweep	OpenFold2	p=0.44155844	cheapest=fallback_pre_then_od	0.018854	0.018854	0.018854
